dilution,dilution.factor,wt-a-1-0,ohrR-a-1-0,mfs1-a-1-0,ntaA-a-1-0,wt-a-2-0,ohrR-a-2-0,mfs1-a-2-0,ntaA-a-2-0,wt-b-1-0,ohrR-b-1-0,mfs1-b-1-0,ntaA-b-1-0,wt-b-2-0,ohrR-b-2-0,mfs1-b-2-0,ntaA-b-2-0,wt-c-1-0,ohrR-c-1-0,mfs1-c-1-0,ntaA-c-1-0,wt-c-2-0,ohrR-c-2-0,mfs1-c-2-0,ntaA-c-2-0,mfs1-a-3-0,ntaA-a-3-0,wt-a-3-0,ohrR-a-3-0,mfs1-a-4-0,ntaA-a-4-0,wt-a-4-0,ohrR-a-4-0,mfs1-b-3-0,ntaA-b-3-0,wt-b-3-0,ohrR-b-3-0,mfs1-b-4-0,ntaA-b-4-0,wt-b-4-0,ohrR-b-4-0,mfs1-c-3-0,ntaA-c-3-0,wt-c-3-0,ohrR-c-3-0,mfs1-c-4-0,ntaA-c-4-0,wt-c-4-0,ohrR-c-4-0,wt-a-1-6,ohrR-a-1-6,mfs1-a-1-6,ntaA-a-1-6,wt-a-2-6,ohrR-a-2-6,mfs1-a-2-6,ntaA-a-2-6,wt-b-1-6,ohrR-b-1-6,mfs1-b-1-6,ntaA-b-1-6,wt-b-2-6,ohrR-b-2-6,mfs1-b-2-6,ntaA-b-2-6,wt-c-1-6,ohrR-c-1-6,mfs1-c-1-6,ntaA-c-1-6,wt-c-2-6,ohrR-c-2-6,mfs1-c-2-6,ntaA-c-2-6,mfs1-a-3-6,ntaA-a-3-6,wt-a-3-6,ohrR-a-3-6,mfs1-a-4-6,ntaA-a-4-6,wt-a-4-6,ohrR-a-4-6,mfs1-b-3-6,ntaA-b-3-6,wt-b-3-6,ohrR-b-3-6,mfs1-b-4-6,ntaA-b-4-6,wt-b-4-6,ohrR-b-4-6,mfs1-c-3-6,ntaA-c-3-6,wt-c-3-6,ohrR-c-3-6,mfs1-c-4-6,ntaA-c-4-6,wt-c-4-6,ohrR-c-4-6,wt-a-1-24,ohrR-a-1-24,mfs1-a-1-24,ntaA-a-1-24,wt-a-2-24,ohrR-a-2-24,mfs1-a-2-24,ntaA-a-2-24,wt-b-1-24,ohrR-b-1-24,mfs1-b-1-24,ntaA-b-1-24,wt-b-2-24,ohrR-b-2-24,mfs1-b-2-24,ntaA-b-2-24,wt-c-1-24,ohrR-c-1-24,mfs1-c-1-24,ntaA-c-1-24,wt-c-2-24,ohrR-c-2-24,mfs1-c-2-24,ntaA-c-2-24,mfs1-a-3-24,ntaA-a-3-24,wt-a-3-24,ohrR-a-3-24,mfs1-a-4-24,ntaA-a-4-24,wt-a-4-24,ohrR-a-4-24,mfs1-b-3-24,ntaA-b-3-24,wt-b-3-24,ohrR-b-3-24,mfs1-b-4-24,ntaA-b-4-24,wt-b-4-24,ohrR-b-4-24,mfs1-c-3-24,ntaA-c-3-24,wt-c-3-24,ohrR-c-3-24,mfs1-c-4-24,ntaA-c-4-24,wt-c-4-24,ohrR-c-4-24,wt-a-1-30,ohrR-a-1-30,mfs1-a-1-30,ntaA-a-1-30,wt-a-2-30,ohrR-a-2-30,mfs1-a-2-30,ntaA-a-2-30,wt-b-1-30,ohrR-b-1-30,mfs1-b-1-30,ntaA-b-1-30,wt-b-2-30,ohrR-b-2-30,mfs1-b-2-30,ntaA-b-2-30,wt-c-1-30,ohrR-c-1-30,mfs1-c-1-30,ntaA-c-1-30,wt-c-2-30,ohrR-c-2-30,mfs1-c-2-30,ntaA-c-2-30,mfs1-a-3-30,ntaA-a-3-30,wt-a-3-30,ohrR-a-3-30,mfs1-a-4-30,ntaA-a-4-30,wt-a-4-30,ohrR-a-4-30,mfs1-b-3-30,ntaA-b-3-30,wt-b-3-30,ohrR-b-3-30,mfs1-b-4-30,ntaA-b-4-30,wt-b-4-30,ohrR-b-4-30,mfs1-c-3-30,ntaA-c-3-30,wt-c-3-30,ohrR-c-3-30,mfs1-c-4-30,ntaA-c-4-30,wt-c-4-30,ohrR-c-4-30,wt-a-1-48,ohrR-a-1-48,mfs1-a-1-48,ntaA-a-1-48,wt-a-2-48,ohrR-a-2-48,mfs1-a-2-48,ntaA-a-2-48,wt-b-1-48,ohrR-b-1-48,mfs1-b-1-48,ntaA-b-1-48,wt-b-2-48,ohrR-b-2-48,mfs1-b-2-48,ntaA-b-2-48,wt-c-1-48,ohrR-c-1-48,mfs1-c-1-48,ntaA-c-1-48,wt-c-2-48,ohrR-c-2-48,mfs1-c-2-48,ntaA-c-2-48,mfs1-a-3-48,ntaA-a-3-48,wt-a-3-48,ohrR-a-3-48,mfs1-a-4-48,ntaA-a-4-48,wt-a-4-48,ohrR-a-4-48,mfs1-b-3-48,ntaA-b-3-48,wt-b-3-48,ohrR-b-3-48,mfs1-b-4-48,ntaA-b-4-48,wt-b-4-48,ohrR-b-4-48,mfs1-c-3-48,ntaA-c-3-48,wt-c-3-48,ohrR-c-3-48,mfs1-c-4-48,ntaA-c-4-48,wt-c-4-48,ohrR-c-4-48,wt-a-1-72,ohrR-a-1-72,mfs1-a-1-72,ntaA-a-1-72,wt-a-2-72,ohrR-a-2-72,mfs1-a-2-72,ntaA-a-2-72,wt-b-1-72,ohrR-b-1-72,mfs1-b-1-72,ntaA-b-1-72,wt-b-2-72,ohrR-b-2-72,mfs1-b-2-72,ntaA-b-2-72,wt-c-1-72,ohrR-c-1-72,mfs1-c-1-72,ntaA-c-1-72,wt-c-2-72,ohrR-c-2-72,mfs1-c-2-72,ntaA-c-2-72,mfs1-a-3-72,ntaA-a-3-72,wt-a-3-72,ohrR-a-3-72,mfs1-a-4-72,ntaA-a-4-72,wt-a-4-72,ohrR-a-4-72,mfs1-b-3-72,ntaA-b-3-72,wt-b-3-72,ohrR-b-3-72,mfs1-b-4-72,ntaA-b-4-72,wt-b-4-72,ohrR-b-4-72,mfs1-c-3-72,ntaA-c-3-72,wt-c-3-72,ohrR-c-3-72,mfs1-c-4-72,ntaA-c-4-72,wt-c-4-72,ohrR-c-4-72
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,12,,,,4,,,,4,,,,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,4,,,,,,,,2,,,,6,,,,3,,,,,,,,,,4,,,,,,,,,,,,16,,,,10,,10,,,,,,,,10,,,,4,,,,10,,,,9,,,,,,10,,,,12,,,,3,,,,5,,,,2,,,,1,
1,2.00E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,8,,,,,,,,,,,,2,,,,2,,,,3,,5,,,,,,,,4,,,,,,,,8,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,2,,8,,,,2,,,,2,,,,,,,,2,,,,2,,,,,,3,,6,5,1,,6,,5,,,,2,,8,5,2,,,12,,,2,,,,8,,,,,,,,2,,,,2,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,,
2,4.00E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,11,,,,10,,,14,8,,,,7,,,,4,,,,,6,2,,,7,3,,8,6,5,,,,4,,12,10,3,,,,3,,3,,,,5,,,,5,,,10,4,,,9,8,,,,5,,,,,,6,,,,4,,11,,6,,,,,,5,6,5,,,,,,2,,4,5,,,,,5,,,,,,,6,,,12,,2,,,,6,5,5,,5,6,,,5,5,6,,8,10,3,12,5,2,,,10,2,,,,,,,5,,,,2,,,,,,,,,,10,,,,,,,4,,,,,2,,10,,1,,,,2,,8,8,,,4,,,
3,8.00E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,10,11,8,,15,10,6,,,8,4,,12,12,6,,15,,5,,8,,5,7,,,9,6,4,,7,3,,,12,12,5,,13,6,3,,6,7,3,,4,,12,8,5,,12,10,,,20,6,,,8,8,3,,10,,3,,,7,7,10,5,,10,8,2,,6,10,5,12,16,12,,,,5,2,13,10,15,,,4,,2,5,,,5,,,,,6,1,,8,2,,4,5,5,,,7,8,5,4,2,,3,3,,,2,2,,15,7,8,2,8,2,,,10,8,2,,,,,,8,,,,,,,,11,,,8,7,,,6,11,,,10,6,6,3,,,,4,,,6,4,,,6,,,,4,5,,,5,6,,
4,1.60E-03,,,,,,13,,,,,,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,8,13,7,,10,12,5,19,12,,5,,13,10,,,12,12,,,8,6,2,3,,16,4,5,6,,,,,10,5,6,,12,6,3,2,20,10,3,,,,12,6,7,5,,4,7,,,10,,,16,8,7,,11,8,8,,13,8,5,5,5,5,10,7,6,5,,2,4,,10,12,2,,12,2,2,,16,8,7,,,,7,2,,,16,4,2,,,10,10,,6,5,3,,5,6,2,,13,6,6,3,,3,12,3,,,13,,2,,3,5,3,,5,2,,,3,4,,,4,,,8,6,,,5,,,,10,8,,,6,8,,,5,3,,,8,6,6,4,,,10,6,,,5,2,,,5,8,,,2,4,,,,2,,
5,3.20E-04,12,,,14,,10,,,,,,,8,8,,11,,9,12,,,,,,,,,,,,,,,10,14,8,14,,10,4,10,15,14,7,10,,,9,,,20,,21,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,17,,15,,,,,6,5,,5,8,,10,15,,,10,8,6,,14,3,4,,15,6,8,3,,,12,5,3,,24,,,,6,4,3,,8,5,,,13,6,,,12,,3,5,3,6,13,6,,,12,8,,,12,4,,,10,3,7,,10,5,2,,4,3,7,5,3,,8,,,,8,4,5,,6,3,,,3,4,2,,9,,6,,,,8,,3,,,10,12,,7,2,,,5,,3,,9,5,5,,,,6,,,,10,,,,3,3,,,2,,,,3,4,,,3,,,6,4,,,4,7,,,8,8,,10,5,2,,,3,3,,,6,4,,,,20,6,5,,,3,2,,15,3,2,,15,2,5,,15,,5,,
6,6.40E-05,3,,,2,,5,15,8,13,,9,12,1,4,8,6,,8,7,13,10,8,,9,11,12,8,8,11,12,,13,10,8,8,6,10,11,10,2,9,8,5,5,6,10,8,,,,8,15,16,,,,,,,12,10,,,,,,16,14,,,,,,,15,12,,,,,,,14,10,13,,,10,,15,8,16,6,,12,,,,,,,,4,5,,2,7,,,10,4,2,,6,,3,,10,2,6,2,,,3,2,,,10,,,,2,,2,,3,,,,7,6,,,6,,3,2,,,10,6,4,,8,2,,,4,3,,,8,,6,,5,2,,,,,5,,,,4,,,,3,,,,3,,,,3,2,,,6,,2,,,,6,,,,5,2,5,,2,,,,3,,,,5,,,,,,2,,,,4,,,,,,,,,,,,2,,,,2,,,2,,,5,2,5,,,2,3,,12,,,,,,,,,,2,,,,15,5,2,,,,,,12,,2,,11,,,,5,,,,
7,1.28E-05,1,,10,,8,4,6,5,8,9,7,1,,2,7,2,,6,4,7,8,5,10,2,3,4,2,8,8,6,9,1,4,3,1,1,4,11,2,,5,2,2,2,1,2,6,,20,14,,10,,,15,,21,,16,8,,15,,13,11,,10,10,,,,,,14,,12,16,15,,,,14,4,7,5,,,9,,10,4,6,3,14,8,,,,,,,,,,,2,5,,,8,,,,3,,,,3,2,,3,,,2,2,,,5,,,,,,2,,2,,,,,,,,10,,2,,,,8,4,,,10,,,,,3,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,12,,,,2,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,2,,,4,2,4,,10,3,,,6,,,,,,,,,,,,,,6,12,,,,,,,8,,,,6,,,,3,,,,15
8,2.56E-06,,,4,,8,,6,,2,4,1,1,,1,5,,,1,1,6,7,1,8,,2,5,2,4,1,1,4,1,3,3,,,,3,,,,,,,,4,1,,15,10,,,,15,12,,10,12,9,,,8,15,9,8,15,8,,9,13,11,10,,8,,4,4,,,10,11,10,,,,14,10,2,14,,,,,10,,22,,10,,,,12,,,,3,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,5,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,12,,,,2,,10,,3,,,,5,,,,12,,,,10,,,,,,3,6,,,20,,,,4,,,,,,,,2,,,,12
9,5.12E-07,,,1,,2,,2,,,1,,,,,1,,,,,3,6,,7,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,9,5,12,7,6,5,,,5,10,,4,12,2,,6,2,9,4,10,,,,,,8,5,6,6,,,,6,7,,6,,,,,5,,20,,8,,,,14,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,2,,5,,2,,,,,,,,6,,,,6,,,,,,,5,,,15,,,,,,,,,,,,,,,,8
10,1.02E-07,,10,,,3,,,,,,,,,,2,,7,,,2,2,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,4,,2,,3,,,,,,,,6,,,,5,,,,,,,4,,,12,,,,,,,,,,,,,,,,6
11,2.05E-08,,8,,,2,,,,,,,,,,,,10,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,2,,,,10,,,,,,,4,,,10,,,,,,,,,,,,,,,,10
12,4.10E-09,,9,,,,,,,,,,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,