sample,dilution,colonies
wt-1-a,0.0001,39
wt-2-a,0.0001,28
wt-3-a,0.0001,28
wt-4-a,0.0001,30
wt-5-a,0.0001,31
wt-6-a,0.0001,34
wt-7-a,0.0001,16
wt-8-a,0.0001,21
wt-9-a,0.0001,30
wt-10-a,0.0001,25
wt-11-a,0.0001,15
wt-12-a,0.0001,28
wt-1-b,0.0001,28
wt-2-b,0.0001,22
wt-3-b,0.0001,20
wt-4-b,0.0001,32
wt-5-b,0.0001,22
wt-6-b,0.0001,19
wt-7-b,0.0001,19
wt-8-b,0.0001,28
wt-9-b,0.0001,17
wt-10-b,0.0001,27
wt-11-b,0.0001,19
wt-12-b,0.0001,29
ohrR-1-a,0.0001,22
ohrR-2-a,0.0001,22
ohrR-3-a,0.0001,19
ohrR-4-a,0.0001,19
ohrR-5-a,0.0001,20
ohrR-6-a,0.0001,30
ohrR-7-a,0.0001,23
ohrR-8-a,0.0001,24
ohrR-9-a,0.0001,23
ohrR-10-a,0.0001,22
ohrR-11-a,0.0001,21
ohrR-12-a,0.0001,18
ohrR-1-b,0.0001,27
ohrR-2-b,0.0001,22
ohrR-3-b,0.0001,22
ohrR-4-b,0.0001,16
ohrR-5-b,0.0001,28
ohrR-6-b,0.0001,29
ohrR-7-b,0.0001,30
ohrR-8-b,0.0001,28
ohrR-9-b,0.0001,22
ohrR-10-b,0.0001,25
ohrR-11-b,0.0001,15
ohrR-12-b,0.0001,16
mfs1-1-a,0.0001,33
mfs1-2-a,0.0001,27
mfs1-3-a,0.0001,22
mfs1-4-a,0.0001,32
mfs1-5-a,0.0001,38
mfs1-6-a,0.0001,34
mfs1-7-a,0.0001,20
mfs1-8-a,0.0001,21
mfs1-9-a,0.0001,29
mfs1-10-a,0.0001,27
mfs1-11-a,0.0001,32
mfs1-12-a,0.0001,18
mfs1-1-b,0.0001,33
mfs1-2-b,0.0001,36
mfs1-3-b,0.0001,37
mfs1-4-b,0.0001,33
mfs1-5-b,0.0001,30
mfs1-6-b,0.0001,37
mfs1-7-b,0.0001,36
mfs1-8-b,0.0001,27
mfs1-9-b,0.0001,34
mfs1-10-b,0.0001,23
mfs1-11-b,0.0001,24
mfs1-12-b,0.0001,22
ntaA-1-a,0.0001,22
ntaA-2-a,0.0001,34
ntaA-3-a,0.0001,23
ntaA-4-a,0.0001,36
ntaA-5-a,0.0001,40
ntaA-6-a,0.0001,27
ntaA-7-a,0.0001,19
ntaA-8-a,0.0001,26
ntaA-9-a,0.0001,32
ntaA-10-a,0.0001,28
ntaA-11-a,0.0001,24
ntaA-12-a,0.0001,28
ntaA-1-b,0.0001,35
ntaA-2-b,0.0001,22
ntaA-3-b,0.0001,40
ntaA-4-b,0.0001,32
ntaA-5-b,0.0001,25
ntaA-6-b,0.0001,23
ntaA-7-b,0.0001,23
ntaA-8-b,0.0001,30
ntaA-9-b,0.0001,30
ntaA-10-b,0.0001,27
ntaA-11-b,0.0001,26
ntaA-12-b,0.0001,19